bench,bank11,bank12,bank21,bank22,unroll1,unroll2,unroll3,target_clk,estimate_clk,est_min_lat,est_max_lat,est_bram,est_dsp,est_ff,est_lut,est_read_lat,est_compute_lat,est_write_lat
gemm-dse:gemm-0-3-0-1-3-2-2,1,4,1,2,6,4,4,4.0,2.92,324116,324116,96,1536,107447,35569,32776,274944,16391
gemm-dse:gemm-1-1-2-0-0-1-2,2,2,3,1,1,2,4,4.0,2.92,802848,802848,102,192,18671,12012,32777,753664,16401
gemm-dse:gemm-2-1-3-2-4-2-0,3,2,4,3,8,4,1,4.0,2.92,13066272,13066272,134,130,36797,32365,32778,13017088,16401
gemm-dse:gemm-1-2-3-0-2-3-0,2,3,4,1,4,6,1,4.0,2.92,31744021,31744021,118,242,41759,30828,32777,31694848,16391
gemm-dse:gemm-2-1-3-3-3-4-1,3,2,4,4,6,8,2,4.0,2.92,191508,191508,118,1504,111542,42417,32777,142336,16390
gemm-dse:gemm-0-3-0-2-0-1-0,1,4,1,3,1,2,1,4.0,2.92,10534943,10534943,102,10,4048,3996,32777,10485760,16401
gemm-dse:gemm-2-1-0-2-0-2-2,3,2,1,3,1,4,4,4.0,2.92,442425,442425,122,258,26668,25747,32778,393240,16401
gemm-dse:gemm-1-3-3-2-3-3-4,2,4,4,3,6,6,8,4.0,2.92,365097,365097,114,1548,113843,47507,32777,315914,16401
gemm-dse:gemm-0-3-1-1-3-0-4,1,4,2,2,6,1,8,4.0,2.92,2455572,2455572,98,192,17082,8806,32776,2406400,16391
gemm-dse:gemm-3-2-0-0-3-0-0,4,3,1,1,6,1,1,4.0,2.92,7204117,7204117,127,48,10644,8624,32777,7154944,16391
gemm-dse:gemm-2-0-0-2-0-3-2,3,1,1,3,1,6,4,4.0,2.92,835653,835653,110,258,26564,25564,32778,786468,16401
gemm-dse:gemm-0-1-0-3-3-4-3,1,2,1,4,6,8,6,4.0,2.92,193044,193044,94,512,41855,17341,32776,143872,16391
gemm-dse:gemm-0-2-1-2-1-3-4,1,3,2,3,2,6,8,4.0,2.92,442445,442445,116,518,45692,45355,32777,393262,16400
gemm-dse:gemm-2-0-2-0-2-1-4,3,1,3,1,4,2,8,4.0,2.92,581699,581699,110,1024,83403,43002,32777,532515,16401
gemm-dse:gemm-1-0-1-3-1-4-4,2,1,2,4,2,8,8,4.0,2.92,573469,573469,94,352,28440,18920,32776,524297,16390
gemm-dse:gemm-2-3-1-3-4-4-4,3,4,2,4,8,8,8,4.0,2.92,180262,180262,130,2048,147565,64548,32777,131089,16390
gemm-dse:gemm-1-3-2-0-3-3-0,2,4,3,1,6,6,1,4.0,2.92,12556319,12556319,102,168,19988,22010,32777,12507136,16401
gemm-dse:gemm-2-3-3-0-0-1-1,3,4,4,1,1,2,2,4.0,2.92,573478,573478,130,256,24711,12124,32777,524304,16391
gemm-dse:gemm-1-1-2-1-0-4-3,2,2,3,2,1,8,6,4.0,2.92,770080,770080,108,136,14690,10070,32777,720896,16401
gemm-dse:gemm-0-1-2-1-2-1-1,1,2,3,2,4,2,2,4.0,2.92,335913,335913,104,1024,78053,31513,32777,286729,16401
gemm-dse:gemm-3-1-2-1-1-4-2,4,2,3,2,2,8,4,4.0,2.92,344096,344096,108,504,41400,19200,32777,294912,16401
gemm-dse:gemm-1-3-0-1-3-0-0,2,4,1,2,6,1,1,4.0,2.92,6747156,6747156,96,24,5346,5788,32776,6697984,16391
