status,resource2,est_avg_lat,est_lut,unroll,resource1,est_ff,est_bram,est_dsp,est_min_lat,bench,bank1,bank2,est_max_lat
ok,RAM_1P_BRAM,9250,5440,24,RAM_T2P_BRAM,10097,24,120,9250,test:dot-product-5-3-14-1-0,6,4,9250
ok,RAM_1P_BRAM,9078,13233,25,RAM_1P_BRAM,29678,28,200,9078,test:dot-product-5-5-15-0-0,6,6,9078
ok,RAM_T2P_BRAM,10275,3945,12,RAM_1P_BRAM,6176,24,60,10275,test:dot-product-1-2-9-0-1,2,3,10275
ok,RAM_1P_BRAM,12600,4650,15,RAM_1P_BRAM,6866,22,75,12600,test:dot-product-4-3-10-0-0,5,4,12600
ok,RAM_1P_BRAM,9248,4700,20,RAM_T2P_BRAM,8712,20,80,9248,test:dot-product-3-3-13-1-0,4,4,9248
ok,RAM_T2P_BRAM,12044,4027,16,RAM_T2P_BRAM,7015,20,64,12044,test:dot-product-1-3-11-1-1,2,4,12044
ok,RAM_T2P_BRAM,8874,15207,20,RAM_T2P_BRAM,36535,28,160,8874,test:dot-product-5-5-13-1-1,6,6,8874
ok,RAM_T2P_BRAM,9734,14022,25,RAM_1P_BRAM,29134,28,200,9734,test:dot-product-2-5-15-0-1,3,6,9734
ok,RAM_T2P_BRAM,10274,5323,24,RAM_1P_BRAM,9763,24,120,10274,test:dot-product-1-2-14-0-1,2,3,10274
ok,RAM_1P_BRAM,12326,9751,16,RAM_1P_BRAM,14848,22,80,12326,test:dot-product-4-1-11-0-0,5,2,12326
ok,RAM_1P_BRAM,10354,7760,25,RAM_T2P_BRAM,18961,22,200,10354,test:dot-product-4-1-15-1-0,5,2,10354
ok,RAM_1P_BRAM,69644,2653,1,RAM_T2P_BRAM,2247,22,4,69644,test:dot-product-0-4-0-1-0,1,5,69644
ok,RAM_T2P_BRAM,9897,5979,5,RAM_T2P_BRAM,9307,24,40,9897,test:dot-product-2-1-4-1-1,3,2,9897
ok,RAM_1P_BRAM,38924,2381,2,RAM_T2P_BRAM,2314,20,8,38924,test:dot-product-1-1-1-1-0,2,2,38924
