status,est_avg_lat,est_lut,bench,unroll,est_bram,bank2,est_min_lat,est_dsp,resource1,resource2,est_max_lat,est_ff,bank1
ok,12326,10028,test:dot-product-0-6-11-0-0,16,26,7,12326,80,RAM_1P_BRAM,RAM_1P_BRAM,12326,14857,1
ok,10273,3646,test:dot-product-0-1-9-1-0,12,20,2,10273,48,RAM_T2P_BRAM,RAM_1P_BRAM,10273,5798,1
ok,9599,10200,test:dot-product-2-7-17-0-0,36,24,8,9599,288,RAM_1P_BRAM,RAM_1P_BRAM,9599,26611,3
ok,12346,23924,test:dot-product-0-6-14-0-1,24,26,7,12346,192,RAM_1P_BRAM,RAM_T2P_BRAM,12346,36449,1
ok,9452,5213,test:dot-product-7-7-8-0-1,10,28,8,9452,40,RAM_1P_BRAM,RAM_T2P_BRAM,9452,5412,8
ok,23583,5920,test:dot-product-5-6-3-1-0,4,30,7,23583,24,RAM_T2P_BRAM,RAM_1P_BRAM,23583,7111,6
ok,8943,12454,test:dot-product-4-2-12-1-1,18,26,3,8943,216,RAM_T2P_BRAM,RAM_T2P_BRAM,8943,27359,5
ok,9624,8544,test:dot-product-6-2-5-1-0,6,30,3,9624,72,RAM_T2P_BRAM,RAM_1P_BRAM,9624,14977,7
ok,23564,2628,test:dot-product-0-0-3-0-1,4,20,1,23564,16,RAM_1P_BRAM,RAM_T2P_BRAM,23564,2957,1
ok,10276,4283,test:dot-product-7-2-5-0-1,6,24,3,10276,48,RAM_1P_BRAM,RAM_T2P_BRAM,10276,6424,8
ok,10143,24451,test:dot-product-7-6-14-1-0,24,34,7,10143,192,RAM_T2P_BRAM,RAM_1P_BRAM,10143,38520,8
ok,10303,16127,test:dot-product-6-1-16-0-0,30,26,2,10303,240,RAM_1P_BRAM,RAM_1P_BRAM,10303,27754,7
ok,12063,10115,test:dot-product-7-6-11-1-1,16,34,7,12063,80,RAM_T2P_BRAM,RAM_T2P_BRAM,12063,14792,8
ok,12597,5547,test:dot-product-1-7-10-0-0,15,20,8,12597,60,RAM_1P_BRAM,RAM_1P_BRAM,12597,7740,2
ok,12319,5191,test:dot-product-1-0-14-1-0,24,20,1,12319,96,RAM_T2P_BRAM,RAM_1P_BRAM,12319,9445,2
