force,pos,j_d1,j_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
1,1,1,2,2,2,md-knn-ur:machsuite-md-knn-0-0-0-1-1-1,4.0,2.92,17070,17070,648,592,138540,66783
2,4,2,2,2,4,md-knn-ur:machsuite-md-knn-1-3-1-1-1-3,4.0,2.92,16562,16562,660,1184,223551,125024
4,2,2,4,4,2,md-knn-ur:machsuite-md-knn-3-1-1-3-3-1,4.0,2.92,20402,20402,1284,2368,444020,245168
2,4,4,1,4,1,md-knn-ur:machsuite-md-knn-1-3-3-0-3-0,4.0,3.562,128587,128587,106,14,15289,9931
4,4,4,2,8,1,md-knn-ur:machsuite-md-knn-3-3-3-1-7-0,4.0,3.266,128555,128555,118,14,18023,12935
1,1,2,4,1,8,md-knn-ur:machsuite-md-knn-0-0-1-3-0-7,4.0,2.92,16564,16564,402,1184,198301,122120
2,1,1,4,2,4,md-knn-ur:machsuite-md-knn-1-0-0-3-1-3,4.0,2.92,16562,16562,648,1184,223538,124382
2,4,1,1,1,1,md-knn-ur:machsuite-md-knn-1-3-0-0-0-0,4.0,3.166,128779,128779,103,14,12644,8818
4,1,4,2,1,4,md-knn-ur:machsuite-md-knn-3-0-3-1-0-3,4.0,2.92,17074,17074,420,592,113325,65533
4,4,4,2,4,4,md-knn-ur:machsuite-md-knn-3-3-3-1-3-3,4.0,2.92,16306,16306,1284,2368,443964,245098
2,2,4,2,1,4,md-knn-ur:machsuite-md-knn-1-1-3-1-0-3,4.0,2.92,21170,21170,414,592,113748,66726
4,4,1,4,1,4,md-knn-ur:machsuite-md-knn-3-3-0-3-0-3,4.0,2.92,16564,16564,390,1184,198322,120657
4,4,1,4,1,2,md-knn-ur:machsuite-md-knn-3-3-0-3-0-1,4.0,2.92,16564,16564,390,1184,198322,120657
4,2,4,4,2,4,md-knn-ur:machsuite-md-knn-3-1-3-3-1-3,4.0,2.92,20404,20404,804,2368,393516,242032
1,1,4,4,1,2,md-knn-ur:machsuite-md-knn-0-0-3-3-0-1,4.0,2.92,16564,16564,498,1184,198303,122236
2,4,1,2,1,2,md-knn-ur:machsuite-md-knn-1-3-0-1-0-1,4.0,2.92,17074,17074,378,592,113343,64424
1,1,2,4,1,4,md-knn-ur:machsuite-md-knn-0-0-1-3-0-3,4.0,2.92,16564,16564,402,1184,198301,122120
